Age,Workout_Type,Session_Duration_Min,Calories_Burned
23,Strength,51,750.0
38,Strength,95,250.0
23,Strength,114,400.0
62,Cardio,86,400.0
24,Yoga,61,750.0
58,HIIT,69,250.0
34,HIIT,72,432.0
28,Strength,63,400.0
22,Strength,44,750.0
40,Yoga,106,250.0
37,Strength,54,600.0
39,Yoga,115,750.0
27,Strength,111,250.0
53,HIIT,78,250.0
53,HIIT,39,400.0
29,Strength,58,
59,Strength,64,250.0
36,Strength,106,400.0
37,Yoga,103,
59,Yoga,65,390.0
35,Cardio,115,750.0
28,Yoga,101,250.0
54,Cardio,39,600.0
18,Strength,59,250.0
48,Yoga,42,600.0
39,Cardio,35,400.0
50,Yoga,102,
60,Cardio,86,600.0
58,Yoga,67,250.0
35,Yoga,67,400.0
31,Cardio,71,750.0
21,HIIT,103,750.0
49,Yoga,66,400.0
50,Yoga,36,750.0
50,Cardio,51,600.0
56,HIIT,79,250.0
