Order_Date,Category,Region,Sales,Profit
2025-10-20,Clothing,West,97.21,-3.32
2025-12-11,Clothing,South,391.0,105.57
2025-06-24,Clothing,East,130.21,27.43
2025-05-30,Clothing,East,138.07,
2025-05-18,Office Supplies,South,196.84,35.96
2025-11-16,Electronics,North,22.05,-2.22
2025-06-16,Electronics,East,113.61,11.33
2025-03-09,Office Supplies,South,93.43,34.86
2025-08-20,Furniture,West,74.09,-10.7
2025-03-11,Clothing,South,112.56,6.4
2025-01-05,Clothing,North,156.4,-23.88
2025-03-08,Clothing,North,73.26,15.75
2025-08-03,Electronics,East,90.99,24.44
2025-04-26,Furniture,North,1089.87,122.55
2025-10-14,Clothing,East,642.24,-49.64
2025-02-24,Office Supplies,West,115.35,11.06
2025-05-24,Electronics,West,228.67,81.59
2025-12-26,Office Supplies,West,741.2,-137.85
2025-08-19,Electronics,North,232.68,-31.4
2025-05-22,Electronics,West,151.38,-13.4
2025-09-15,Office Supplies,East,93.61,6.24
2025-06-03,Electronics,North,82.92,6.46
2025-12-08,Office Supplies,East,513.63,75.95
2025-06-15,Clothing,East,149.09,11.63
2025-05-14,Office Supplies,East,430.7,175.57
2025-06-12,Office Supplies,West,351.56,9.06
2025-09-13,Furniture,South,94.96,45.86
2025-04-05,Furniture,North,140.54,2.76
2025-01-25,Furniture,West,299.47,-23.24
2025-03-20,Furniture,West,140.11,21.62
2025-05-21,Clothing,West,685.24,70.41
2025-06-09,Clothing,East,75.08,29.73
2025-01-05,Furniture,East,220.08,-20.6
2025-09-10,Furniture,North,21.98,10.91
2025-05-29,Office Supplies,North,122.54,-9.87
2025-09-09,Furniture,East,31.3,8.91
2025-11-04,Clothing,South,61.99,-2.3
2025-04-26,Clothing,West,386.8,118.76
2025-01-14,Clothing,North,97.46,16.36
2025-03-03,Electronics,East,673.86,-17.52
2025-11-10,Furniture,East,70.17,23.31
2025-08-01,Electronics,North,88.16,33.85
2025-07-07,Electronics,North,18.71,1.12
2025-07-15,Electronics,West,71.85,-6.86
2025-08-09,Clothing,West,220.94,81.19
2025-04-15,Furniture,East,317.44,134.74
2025-02-17,Clothing,North,582.35,213.27
2025-10-04,Furniture,East,17.84,7.69
2025-03-20,Office Supplies,East,107.67,12.39
2025-03-28,Office Supplies,West,438.19,-55.22
2025-04-19,Electronics,West,27.72,8.36
2025-08-20,Office Supplies,West,17.24,2.69
2025-01-28,Furniture,West,96.07,32.88
2025-01-08,Furniture,North,169.53,64.65
2025-08-11,Furniture,South,27.15,12.96
2025-02-18,Clothing,North,755.86,201.92
2025-04-29,Clothing,East,24.35,
2025-09-15,Furniture,East,330.61,1.64
2025-08-14,Electronics,West,285.72,105.21
2025-06-02,Office Supplies,North,536.45,-22.94
2025-08-01,Furniture,West,108.42,-9.26
2025-05-02,Office Supplies,East,12.56,6.21
2025-01-18,Office Supplies,South,384.83,170.58
2025-08-26,Furniture,North,776.99,251.54
2025-08-23,Clothing,West,49.06,8.91
2025-08-01,Clothing,North,270.35,-33.64
2025-03-29,Office Supplies,East,58.04,8.94
2025-01-03,Furniture,South,293.92,94.17
2025-10-08,Office Supplies,South,243.52,100.17
2025-05-09,Office Supplies,West,133.81,-25.89
2025-11-16,Office Supplies,North,75.12,-4.83
2025-08-19,Office Supplies,North,171.97,53.85
2025-03-27,Furniture,North,104.08,18.43
2025-05-01,Furniture,East,367.57,-70.68
2025-03-11,Electronics,West,89.18,-8.54
2025-01-20,Electronics,East,101.87,11.62
2025-11-06,Furniture,South,39.66,10.48
2025-02-26,Electronics,East,203.3,9.93
2025-01-03,Electronics,South,424.71,66.71
2025-09-11,Clothing,East,174.87,33.66
2025-11-01,Furniture,East,194.33,-35.75
2025-11-10,Office Supplies,East,247.76,79.82
2025-08-16,Office Supplies,West,155.66,16.83
2025-04-23,Electronics,South,63.8,3.83
2025-10-28,Office Supplies,South,1291.09,585.1
2025-07-17,Furniture,West,147.1,-11.07
2025-11-21,Clothing,South,279.4,129.98
2025-04-23,Electronics,East,91.45,-16.61
2025-02-20,Furniture,North,249.25,112.34
2025-12-15,Furniture,South,122.3,50.25
2025-12-22,Clothing,North,124.25,56.68
2025-05-09,Clothing,East,270.35,39.88
2025-12-30,Clothing,East,21.8,-0.92
2025-12-30,Office Supplies,West,223.98,
2025-09-27,Furniture,West,74.52,-0.53
2025-07-24,Clothing,West,294.92,33.86
2025-12-04,Electronics,North,393.59,-65.91
2025-01-07,Electronics,North,162.04,14.22
2025-05-23,Office Supplies,East,273.69,50.31
2025-05-22,Electronics,East,361.9,127.17
2025-08-06,Furniture,North,69.29,17.87
2025-06-10,Electronics,South,83.84,38.81
2025-10-16,Clothing,South,67.79,26.81
2025-06-18,Electronics,North,403.42,123.43
2025-04-08,Electronics,North,199.81,-8.33
2025-03-07,Electronics,North,592.64,234.08
2025-03-17,Clothing,West,133.3,43.26
2025-07-11,Clothing,East,338.4,41.1
2025-06-03,Electronics,West,93.04,38.19
2025-08-01,Furniture,West,156.54,-8.86
2025-06-17,Clothing,West,69.01,31.93
2025-09-11,Furniture,North,15.51,-2.39
2025-06-16,Clothing,North,109.1,39.15
2025-11-03,Electronics,South,105.74,36.26
2025-10-24,Clothing,East,29.75,1.48
2025-08-26,Electronics,West,329.81,25.45
2025-09-20,Furniture,West,248.08,88.14
2025-08-08,Electronics,South,464.97,-38.04
2025-04-17,Clothing,West,458.84,118.38
2025-05-17,Furniture,East,696.88,278.62
2025-01-21,Furniture,South,693.02,64.06
2025-02-28,Furniture,West,1177.11,571.9
2025-10-08,Office Supplies,North,174.09,29.45
2025-09-22,Furniture,East,105.29,50.69
2025-12-30,Furniture,East,257.74,5.17
2025-10-13,Electronics,West,146.33,55.57
2025-06-12,Electronics,West,359.71,-46.6
2025-10-06,Electronics,South,129.7,42.05
2025-09-28,Furniture,North,378.33,49.15
2025-09-05,Electronics,West,278.87,-35.01
2025-09-04,Office Supplies,East,397.22,-16.28
2025-10-21,Office Supplies,South,246.93,39.23
2025-05-22,Electronics,South,298.07,25.58
2025-07-26,Electronics,South,339.42,-53.84
2025-04-01,Electronics,East,232.18,44.65
2025-07-09,Furniture,East,61.43,4.12
2025-10-08,Furniture,South,33.47,3.21
2025-03-24,Furniture,East,687.72,-76.19
2025-06-22,Office Supplies,East,250.34,97.04
2025-10-02,Office Supplies,North,82.7,31.47
2025-10-13,Furniture,West,253.27,
2025-11-05,Electronics,West,76.77,28.96
2025-03-09,Office Supplies,East,281.89,-46.88
2025-04-30,Furniture,North,90.22,3.45
2025-06-07,Office Supplies,West,64.76,23.07
2025-05-29,Office Supplies,West,321.33,64.7
2025-07-20,Clothing,North,192.75,-23.04
2025-03-06,Clothing,South,363.55,
2025-06-23,Office Supplies,South,27.16,11.88
2025-08-20,Electronics,South,456.1,50.34
2025-11-07,Furniture,West,320.99,79.52
2025-12-08,Clothing,West,107.07,15.14
2025-03-13,Clothing,East,138.07,67.47
2025-09-25,Furniture,East,68.71,3.66
2025-04-03,Office Supplies,West,64.59,8.32
2025-12-06,Office Supplies,West,136.88,15.5
2025-07-09,Electronics,North,11.1,-2.16
2025-09-02,Clothing,West,77.07,9.56
2025-09-22,Furniture,East,79.48,35.94
2025-02-28,Electronics,North,350.98,60.41
2025-05-27,Electronics,South,146.06,42.59
2025-01-19,Office Supplies,East,46.11,3.36
2025-08-28,Clothing,North,260.38,58.72
2025-06-02,Furniture,South,625.97,190.91
2025-06-24,Office Supplies,East,69.58,-11.02
2025-03-23,Furniture,East,228.9,82.46
