Track_Name,Genre,Streams_Millions,Explicit_Content
Track_113,Pop,124,No
Track_114,Rock,26,No
Track_115,Hip-Hop,97,No
Track_116,Hip-Hop,45,Yes
Track_117,Hip-Hop,5,No
Track_118,Electronic,107,No
Track_119,Rock,3,No
Track_120,Pop,143,Yes
Track_121,Jazz,56,No
Track_122,Hip-Hop,61,No
Track_123,Pop,91,No
Track_124,Hip-Hop,149,No
Track_125,Hip-Hop,63,No
Track_126,Hip-Hop,72,No
Track_127,Hip-Hop,69,No
Track_128,Pop,142,No
Track_129,Hip-Hop,61,No
Track_130,Pop,76,No
Track_131,Hip-Hop,36,No
Track_132,Hip-Hop,54,Yes
Track_133,Hip-Hop,91,Yes
Track_134,Hip-Hop,104,No
Track_135,Rock,84,No
Track_136,Pop,86,No
Track_137,Pop,13,No
Track_138,Electronic,73,No
Track_139,Hip-Hop,127,No
Track_140,Rock,138,No
Track_141,Hip-Hop,142,No
Track_142,Jazz,17,No
Track_143,Electronic,57,nan
Track_144,Pop,138,Yes
Track_145,Electronic,124,No
Track_146,Pop,54,No
Track_147,Rock,61,No
Track_148,Hip-Hop,29,No
Track_149,Rock,110,No
Track_150,Hip-Hop,81,No
Track_151,Rock,149,No
Track_152,Rock,74,No
Track_153,Jazz,5,No
Track_154,Electronic,18,No
Track_155,Hip-Hop,84,No
Track_156,Jazz,112,Yes
Track_157,Electronic,15,Yes
Track_158,Pop,73,No
Track_159,Pop,146,No
Track_160,Hip-Hop,74,No
Track_161,Hip-Hop,62,No
Track_162,Hip-Hop,66,No
Track_163,Hip-Hop,118,No
Track_164,Hip-Hop,90,No
Track_165,Pop,72,Yes
Track_166,Rock,47,No
Track_167,Pop,47,No
Track_168,Electronic,8,No
Track_169,Hip-Hop,66,nan
Track_170,Rock,8,No
Track_171,Rock,103,No
Track_172,Hip-Hop,36,No
Track_173,Hip-Hop,148,No
Track_174,Hip-Hop,98,nan
Track_175,Pop,121,No
Track_176,Pop,111,No
Track_177,Hip-Hop,37,nan
Track_178,Rock,76,No
Track_179,Rock,80,No
Track_180,Pop,58,nan
Track_181,Pop,38,No
Track_182,Electronic,110,No
Track_183,Rock,51,No
Track_184,Pop,87,No
Track_185,Jazz,112,No
Track_186,Rock,39,No
Track_187,Hip-Hop,112,Yes
Track_188,Rock,2,No
Track_189,Electronic,67,Yes
Track_190,Rock,72,No
Track_191,Rock,66,No
Track_192,Hip-Hop,96,No
Track_193,Jazz,46,No
Track_194,Pop,1,No
Track_195,Pop,134,Yes
Track_196,Jazz,83,No
Track_197,Pop,131,Yes
Track_198,Pop,147,No
Track_199,Pop,105,No
Track_200,Pop,60,nan
Track_201,Pop,66,Yes
Track_202,Hip-Hop,113,No
Track_203,Hip-Hop,78,No
Track_204,Hip-Hop,145,No
Track_205,Hip-Hop,122,No
Track_206,Electronic,56,No
Track_207,Jazz,43,No
Track_208,Electronic,90,No
Track_209,Rock,26,No
Track_210,Pop,50,No
Track_211,Hip-Hop,34,No
Track_212,Pop,44,No
Track_213,Hip-Hop,119,No
Track_214,Electronic,25,Yes
Track_215,Rock,80,No
Track_216,Pop,11,No
Track_217,Electronic,10,No
Track_218,Pop,88,No
Track_219,Pop,13,No
Track_220,Jazz,10,Yes
Track_221,Rock,99,nan
Track_222,Rock,94,nan
Track_223,Rock,146,No
Track_224,Electronic,139,No
Track_225,Rock,34,No
Track_226,Pop,35,No
Track_227,Jazz,24,No
Track_228,Pop,93,No
Track_229,Rock,89,No
Track_230,Pop,42,nan
Track_231,Rock,39,No
Track_232,Hip-Hop,93,nan
Track_233,Pop,100,nan
Track_234,Pop,94,No
Track_235,Jazz,111,No
Track_236,Electronic,102,Yes
Track_237,Pop,60,No
Track_238,Pop,83,No
Track_239,Electronic,48,No
Track_240,Jazz,98,No
Track_241,Jazz,140,No
Track_242,Hip-Hop,29,No
Track_243,Pop,27,No
Track_244,Electronic,12,No
Track_245,Pop,35,No
Track_246,Pop,117,No
Track_247,Rock,62,No
Track_248,Pop,42,No
Track_249,Pop,141,No
Track_250,Rock,71,No
